date,AGG,EEM,IJS,SPY,TLT,UUP,VNQ
2007-07-30,389300,50423400,209200,283017500,1803900,5200,197200
2007-07-31,529100,63243600,140000,316976700,2467600,6600,552700
2007-08-01,814500,106336500,289700,467670000,2154700,11200,202500
2007-08-02,566300,46615800,151700,294758400,2079400,900,545600
2007-08-03,371600,64852500,180500,359398200,1577600,20100,169300
2007-08-06,231000,72395400,502500,324980000,1298400,3300,333300
2007-08-07,280300,54839100,150000,232568700,1890800,13700,233700
2007-08-08,277200,50678700,200000,274930600,6453000,4300,293500
2007-08-09,271600,78721500,392400,357622100,2637500,6200,453700
2007-08-10,398700,82478700,332000,411018400,1496400,40500,193700
2007-08-13,220200,39933300,201400,181917200,1312600,25400,178000
2007-08-14,250900,50445600,130900,264134500,1314700,39600,440600
2007-08-15,224900,77352600,83300,323834000,1101700,26800,629200
2007-08-16,541400,140054700,197700,546743700,2410200,30800,472100
2007-08-17,311800,99855300,95900,388218100,2114400,16300,517700
2007-08-20,252400,64116300,46600,187320400,1048700,13300,367800
2007-08-21,224600,43294500,138700,157066400,1517200,6800,250600
2007-08-22,545300,57893700,81500,173156700,1137800,21200,274700
2007-08-23,522300,46373700,242700,203915300,1618800,1200,277300
2007-08-24,293700,52962000,77300,128901900,1614600,52000,240900
2007-08-27,301600,28239300,62100,113024300,1585400,2500,205100
2007-08-28,187700,56966400,65300,219790700,1298900,17200,195400
2007-08-29,201400,42499800,54700,207654200,2686700,3900,239200
2007-08-30,186400,29959500,45800,191817300,1806800,27500,269100
2007-08-31,201000,53820900,80300,185477500,2763200,5700,1092000
2007-09-04,554500,33802200,98600,120062000,931000,4700,359600
2007-09-05,294600,38522400,53300,166261800,1271500,900,255600
2007-09-06,761000,20809800,146400,127878400,1768400,40600,181800
2007-09-07,353400,48953400,95600,235447600,2852200,3000,330200
2007-09-10,285900,32317200,128900,192305900,2495200,49600,188200
2007-09-11,687000,32632200,59100,162081900,3925400,3500,369400
2007-09-12,2039700,29448900,211800,149554600,4458300,8200,107200
2007-09-13,790400,22941300,93000,154079000,2020600,2500,133700
2007-09-14,320600,17142600,64500,121911000,1357200,2400,427500
2007-09-17,278000,22866300,70800,109870800,1285400,2500,107500
2007-09-18,628000,68338200,211400,263759500,3132800,10700,154600
2007-09-19,441200,63006000,128200,193779900,3854700,28000,200400
2007-09-20,282100,34842000,120000,175186800,5903200,53900,498400
2007-09-21,465700,30381000,73600,141457500,2217600,7500,82600
2007-09-24,274000,31511400,76000,139450200,1943600,33800,131500
2007-09-25,260000,28052400,325600,142289900,2513500,27800,380800
2007-09-26,702100,27536400,149800,135547000,2646400,17700,155900
2007-09-27,380900,32771700,155200,102713300,1802900,128700,141200
2007-09-28,336100,40628400,54100,133372100,1254700,44800,174800
2007-10-01,3538500,38391000,426200,148162300,1399400,44600,884900
2007-10-02,282100,40943400,235100,112978800,887800,99700,205200
2007-10-03,327100,49248300,41500,119055900,1164600,48800,168300
2007-10-04,445000,23239800,50100,76864400,1128700,16600,136300
2007-10-05,750200,64093800,67400,134579700,2184700,29000,266300
2007-10-08,367700,32786100,44300,71280400,280100,48600,140900
2007-10-09,182700,30145200,131900,94054300,901000,92800,159300
2007-10-10,711600,36825900,50900,101711100,855500,49800,187600
2007-10-11,258000,71038800,83900,233529100,1533400,90600,111800
2007-10-12,470400,27468300,212900,124546700,1133900,14100,129500
2007-10-15,200800,40017900,221200,161151900,553300,18400,205100
2007-10-16,266400,60320100,38200,166525700,855500,295500,205800
2007-10-17,243600,67459200,278800,216687300,2377000,44200,263900
2007-10-18,270000,55143300,88400,148367500,1374100,22600,134000
2007-10-19,732700,82591500,120800,297169900,2561800,51100,184500
2007-10-22,284500,60902100,149800,261989800,1866500,96800,246600
2007-10-23,328900,55527300,109000,180085100,1046600,39600,185500
2007-10-24,1018400,49925100,181700,326694200,2829300,37100,370600
2007-10-25,236200,43169400,124500,237374500,3062200,19500,310000
2007-10-26,348000,44119500,64200,176484000,1366500,67100,144600
2007-10-29,261000,38281200,67300,106841000,881000,26400,133200
2007-10-30,252400,36921900,146400,132981600,1439600,245300,178600
2007-10-31,767000,63320400,98800,220954400,2498500,72500,263600
2007-11-01,251200,56598300,139900,333040800,2563400,92600,278700
2007-11-02,401100,59190000,117300,331228200,1927700,65000,306500
2007-11-05,509700,43943400,115400,226841000,1021500,83300,309000
2007-11-06,418000,40065300,142900,177800500,575800,28100,212600
2007-11-07,716100,46819800,151600,306639700,1456100,134400,495200
2007-11-08,469700,83404200,207600,374509900,2179600,150000,294100
2007-11-09,184600,52806000,162300,277745100,887200,130500,247200
2007-11-12,224000,69956100,158000,243087800,460600,186300,277800
2007-11-13,276100,74957100,66400,191117400,1116600,154800,175900
2007-11-14,336000,47813100,90200,230558800,684400,123100,311500
2007-11-15,493500,55260300,58300,263111100,1312900,117100,342800
2007-11-16,1810900,60026400,77400,308770600,1333800,79400,361500
2007-11-19,416800,52244700,109800,267746000,1343900,597100,316900
2007-11-20,332100,83208600,102800,414767500,1367800,216600,482500
2007-11-21,789200,77409000,82400,259012400,1297800,97900,339000
2007-11-23,137700,24243900,26100,77688400,437400,25300,164500
2007-11-26,441900,72462000,102000,214232000,4427000,110600,221400
2007-11-27,933000,75099600,98200,293897900,3100300,140600,291100
2007-11-28,536500,100931400,79400,258596900,2088100,231200,302100
2007-11-29,1496800,62430600,98700,199409900,1594500,75900,152400
2007-11-30,1734300,64310400,63900,222908000,1952100,105100,275600
2007-12-03,630100,41652600,83000,146430400,1272700,120200,423300
2007-12-04,580800,32139000,349000,136533900,1721200,103200,299200
2007-12-05,442400,46454100,84700,171130000,1866000,108500,223800
2007-12-06,805900,49785000,356000,154457400,2270200,1259400,180600
2007-12-07,406200,47259900,126500,148980100,2171000,278000,264100
2007-12-10,916400,30087600,89300,123914300,2242500,482100,248200
2007-12-11,1153500,67515900,123700,250346400,2892400,213600,280600
2007-12-12,500900,72613200,216100,322435600,2225400,83600,416500
2007-12-13,425500,75751200,107700,237551300,1222100,181700,318400
2007-12-14,515300,52611000,138000,159152900,1354900,312600,922900
2007-12-17,550800,62022000,113700,177269400,2046200,188800,509100
2007-12-18,402300,69887400,235700,245569300,1417100,174300,494100
2007-12-19,634800,56490000,216700,198917200,2252400,76900,370500
2007-12-20,489200,45520800,163300,214813800,1659400,117800,998500
2007-12-21,411900,56436300,130100,146084400,1767600,255400,374200
2007-12-24,190700,18304800,64400,45601400,550300,32700,121700
2007-12-26,259200,23497500,176000,67093100,674700,117500,371900
2007-12-27,427200,30705600,244800,122981700,468600,224700,353800
2007-12-28,442500,37557000,434600,116398100,1967800,194700,395000
2007-12-31,708000,26840400,191000,108126800,1647600,112600,335800
2008-01-02,888900,68029800,251900,204935600,2959600,97700,5341700
2008-01-03,370600,47760300,121800,125133300,1256700,70000,259300
2008-01-04,497700,83071200,239200,232330900,2420200,1094600,382300
