"","Intercept","MktRF","SMB","HML","RMW","CMA","Alpha"
"1",18.9802322740376,-1.38450564801094,-1.2164126659453,-0.239197487841614,-1.54219393402925,-1.56284609547267,6.90056185609259
"2",23.255188322939,-1.57559980504359,-1.51272586995137,-0.0696156218712063,-1.87326165737412,-1.86810310105473,3.31664421314292
"3",25.6743371133666,-2.02852742027294,-1.46361777338328,-0.291791846227057,-2.09435119834293,-1.92865437648486,5.79640469093326
"4",20.5510345924617,-1.84783622320616,-1.01210033224853,-0.291168385698018,-1.45625392843584,-1.6183276612015,8.20173198541059
"5",20.3759236049934,-1.40958967131384,-1.36972423007884,-0.566150087163429,-1.41216781407632,-1.24596574096707,6.53208819327938
"6",20.2234847827396,-1.6302258374463,-1.18371491400994,-0.430312466716796,-1.7224548912298,-1.46432380785899,11.5485240401565
"7",19.8007009152596,-1.38814351972004,-1.31350803062362,-0.434346480894432,-1.55343767392894,-1.39363692736,5.49809457995206
"8",25.5201997522256,-2.04133658319173,-1.19051787446457,-0.353110149618693,-1.75237976834421,-1.7083537507272,4.73534463153867
"9",18.7320108250071,-1.34206946432748,-1.27504983348995,-0.356073550780489,-1.32465512585872,-1.41210860245719,7.12801273460867
"10",29.6313234808859,-2.31395548855628,-1.57735005277876,-0.266550797643275,-2.22901626633509,-2.00101219706836,6.96806097765143
